time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2021-06-04,20.6,17.8,25.6,30.2,,264.0,7.9,,1013.2,,New York
2021-06-05,25.0,18.3,31.7,1.1,,256.0,12.0,,1013.5,,New York
2021-06-06,28.1,21.7,35.0,0.0,,247.0,7.2,,1016.7,,New York
2021-06-07,27.0,22.8,33.3,0.0,,282.0,5.2,,1018.3,,New York
2021-06-08,25.5,21.7,32.2,8.1,,269.0,7.7,,1017.2,,New York
2021-06-09,25.8,21.1,32.8,0.5,,245.0,8.5,,1015.3,,New York
2021-06-10,24.2,18.9,27.8,0.1,,62.0,16.5,,1016.3,,New York
2021-06-11,19.1,17.2,21.1,0.4,,67.0,13.8,,1015.5,,New York
2021-06-12,19.2,17.8,21.7,0.3,,70.0,10.3,,1011.7,,New York
2021-06-13,19.5,16.1,23.3,0.0,,219.0,7.5,,1013.4,,New York
2021-06-14,20.2,18.9,23.9,9.5,,141.0,8.6,,1010.6,,New York
2021-06-15,22.7,19.4,27.8,15.0,,274.0,7.2,,1007.5,,New York
2021-06-16,21.8,17.2,26.7,0.0,,300.0,6.4,,1010.8,,New York
2021-06-17,21.8,16.7,27.2,0.0,,271.0,8.8,,1015.1,,New York
2021-06-18,23.1,17.2,28.3,0.0,,240.0,11.0,,1015.2,,New York
2021-06-19,24.2,19.4,30.0,5.5,,249.0,12.1,,1008.9,,New York
2021-06-20,24.8,18.9,30.6,0.6,,247.0,7.3,,1009.4,,New York
2021-06-21,26.3,23.3,30.6,0.2,,248.0,8.3,,1005.8,,New York
2021-06-22,21.0,16.7,25.0,15.2,,293.0,8.2,,1006.9,,New York
2021-06-23,19.8,14.4,26.1,0.0,,267.0,7.9,,1021.2,,New York
2021-06-24,20.7,16.7,25.0,0.0,,183.0,9.5,,1028.0,,New York
2021-06-25,21.4,18.3,26.1,0.7,,200.0,9.4,,1025.8,,New York
2021-06-26,23.9,20.6,27.8,2.1,,226.0,10.6,,1023.6,,New York
2021-06-27,26.4,22.8,32.2,0.6,,244.0,10.5,,1021.8,,New York
2021-06-28,28.1,23.3,33.3,0.2,,249.0,12.4,,1022.5,,New York
2021-06-29,29.6,25.6,33.9,0.0,,251.0,12.8,,1021.8,,New York
2021-06-30,30.1,23.3,35.0,3.2,,258.0,11.9,,1015.5,,New York
2021-07-01,24.6,21.7,28.9,27.8,,251.0,6.1,,1011.1,,New York
2021-07-02,22.7,18.3,26.1,16.6,,235.0,10.1,,1007.1,,New York
2021-07-03,18.1,16.7,19.4,7.7,,48.0,17.3,,1009.1,,New York
2021-07-04,21.6,17.2,27.8,1.1,,204.0,7.5,,1012.4,,New York
2021-07-05,24.6,20.6,30.0,0.3,,31.0,8.9,,1016.9,,New York
2021-07-06,26.8,22.2,33.9,6.2,,258.0,12.7,,1015.1,,New York
2021-07-07,27.8,21.7,33.9,1.3,,257.0,8.6,,1014.1,,New York
2021-07-08,25.8,23.0,29.4,2.8,,46.0,12.9,,1014.7,,New York
2021-07-09,25.1,21.7,31.1,25.8,,307.0,10.8,,1009.7,,New York
2021-07-10,24.3,22.2,28.9,0.6,,32.0,7.1,,1014.6,,New York
2021-07-11,23.2,20.6,25.2,3.2,,142.0,12.0,,1018.7,,New York
2021-07-12,25.6,22.2,32.2,18.7,,7.0,9.1,,1019.3,,New York
2021-07-13,22.8,21.1,25.6,1.0,,53.0,13.0,,1023.3,,New York
2021-07-14,25.3,21.7,32.2,0.5,,337.0,9.3,,1020.9,,New York
2021-07-15,27.6,23.9,32.8,0.3,,267.0,7.1,,1018.5,,New York
2021-07-16,29.3,25.6,33.3,0.0,,251.0,9.0,,1016.0,,New York
2021-07-17,27.7,23.9,33.3,6.2,,300.0,7.0,,1016.5,,New York
2021-07-18,25.3,22.8,28.9,6.0,,246.0,14.1,,1014.7,,New York
2021-07-19,25.0,22.8,29.4,1.1,,298.0,6.9,,1014.6,,New York
2021-07-20,27.1,23.3,31.7,0.2,,250.0,7.9,,1012.7,,New York
2021-07-21,25.6,23.9,28.9,7.2,,271.0,7.7,,1011.9,,New York
2021-07-22,24.5,20.6,28.9,0.0,,311.0,5.6,,1017.8,,New York
2021-07-23,24.6,21.1,29.4,0.0,,316.0,5.4,,1019.7,,New York
2021-07-24,25.1,22.2,28.9,0.2,,185.0,7.7,,1018.9,,New York
2021-07-25,24.9,20.0,29.4,4.7,,229.0,11.2,,1013.4,,New York
2021-07-26,27.8,23.3,32.8,0.2,,263.0,6.1,,1012.3,,New York
2021-07-27,27.9,23.3,32.8,0.3,,308.0,5.4,,1013.8,,New York
2021-07-28,24.8,21.7,30.0,0.5,,39.0,5.8,,1015.4,,New York
2021-07-29,23.4,21.7,25.6,6.8,,207.0,12.5,,1013.8,,New York
2021-07-30,24.9,21.7,30.6,0.1,,315.0,5.8,,1009.0,,New York
2021-07-31,22.1,17.2,26.7,0.0,,292.0,7.3,,1015.1,,New York
2021-08-01,22.6,20.0,25.6,2.0,,201.0,10.0,,1012.6,,New York
2021-08-02,23.1,17.8,28.9,0.2,,300.0,5.8,,1014.0,,New York
2021-08-03,23.4,21.1,27.8,0.2,,22.0,7.2,,1019.5,,New York
2021-08-04,22.8,21.7,24.4,0.2,,20.0,9.3,,1019.9,,New York
2021-08-05,23.4,20.6,28.3,0.0,,33.0,9.3,,1018.8,,New York
2021-08-06,25.5,21.1,31.1,0.0,,233.0,7.4,,1020.5,,New York
2021-08-07,25.8,22.8,31.1,0.1,,243.0,7.6,,1018.5,,New York
2021-08-08,22.2,20.0,24.4,9.8,,39.0,14.3,,1018.4,,New York
2021-08-09,23.7,21.7,27.2,3.0,,33.0,9.4,,1020.2,,New York
2021-08-10,25.1,22.2,30.0,8.4,,18.0,5.4,,1020.1,,New York
2021-08-11,27.1,23.3,34.4,5.7,,249.0,8.3,,1016.6,,New York
2021-08-12,28.5,23.9,34.4,0.4,,261.0,9.3,,1015.6,,New York
2021-08-13,30.1,25.6,35.0,0.2,,254.0,8.9,,1016.6,,New York
2021-08-14,28.8,25.6,32.2,3.5,,280.0,7.8,,1017.6,,New York
2021-08-15,25.9,22.8,30.6,0.0,,72.0,10.5,,1021.9,,New York
2021-08-16,24.7,22.2,27.8,0.0,,122.0,11.2,,1022.7,,New York
2021-08-17,24.8,23.3,27.2,0.1,,157.0,11.3,,1022.8,,New York
2021-08-18,25.4,23.9,27.8,1.1,,139.0,10.0,,1022.1,,New York
2021-08-19,27.0,24.4,30.6,4.6,,243.0,17.0,,1013.8,,New York
2021-08-20,26.2,24.4,28.9,2.5,,295.0,5.3,,1012.3,,New York
2021-08-21,25.6,23.3,28.3,45.6,,30.0,6.4,,1012.9,,New York
2021-08-22,23.2,22.2,24.4,65.4,,302.0,11.1,,1009.9,,New York
2021-08-23,25.2,22.2,30.6,34.7,,265.0,12.9,,1008.0,,New York
2021-08-24,28.6,23.9,33.9,0.2,,290.0,6.0,,1013.5,,New York
2021-08-25,28.9,24.4,34.4,0.0,,299.0,4.6,,1018.7,,New York
2021-08-26,29.0,25.0,34.4,0.0,,232.0,7.7,,1019.2,,New York
2021-08-27,28.0,25.0,33.3,7.2,,279.0,6.2,,1018.6,,New York
2021-08-28,23.7,20.6,27.2,8.2,,45.0,21.2,,1023.1,,New York
2021-08-29,22.4,20.6,25.0,0.6,,39.0,11.0,,1022.2,,New York
2021-08-30,25.9,22.8,31.1,7.1,,245.0,6.7,,1012.7,,New York
2021-08-31,27.0,24.4,31.1,0.0,,303.0,5.3,,1008.8,,New York
2021-09-01,22.8,19.0,25.0,59.6,,24.0,16.4,,1006.8,,New York
2021-09-02,21.6,17.2,27.2,12.8,,352.0,7.5,,1009.0,,New York
2021-09-03,21.1,16.7,26.1,0.2,,287.0,7.8,,1016.8,,New York
2021-09-04,22.5,18.3,27.2,0.0,,258.0,8.5,,1016.2,,New York
2021-09-05,22.3,20.0,23.9,0.9,,227.0,11.3,,1011.4,,New York
2021-09-06,24.9,21.7,29.4,0.9,,270.0,11.3,,1009.6,,New York
